,제목,평점,장르,줄거리
52,그것: 두 번째 이야기,6,공포/스릴러,"27년마다 아이들이 사라지는 마을 데리, 또 다시 ‘그것’이 나타났다.27년 전, 가장 무서워하는 것의 모습으로 나타나 아이들을 잡아먹는 그것 페니와이즈에 맞섰던 ‘루저 클럽’ 친구들은 어른이 되어도 더 커져만 가는 그것의 공포를 끝내기 위해 피할 수 없는 마지막 대결에 나선다."
53,안나,8,액션,파리의 톱모델로 위장한 강력한 킬러 ‘안나’(사샤 루스)가 살아남기 위해 모든 위협을 제거해나가는 하드코어 킬링 액션
54,엑스맨: 다크 피닉스,5,액션,"어린 시절 비극적 교통사고로 자신의 능력을 알게 된 진 그레이는자비에 영재학교에서 새로운 가족을 맞이하게 된다.엄청난 잠재적 능력을 지닌 그녀는 엑스맨으로 성장해 우주에서 구조 임무를 수행하던 중목숨을 잃을 뻔한 사고를 겪는다. 예기치 못한 사고 이후 폭주하는 힘과억눌려왔던 어둠에 눈을 뜨게 된 진 그레이는 엑스맨의 가장 강력하고 파괴적인 적,다크 피닉스로 변하게 된다. 프로페서 X는 물론 매그니토까지 능가하는 두려운 존재가 된 그녀 앞에힘을 이용하려는 미스터리한 외계 존재가 나타나 그녀를 뒤흔들고,지금까지 엑스맨이 이뤄온 모든 것들이 무너지는 가운데엑스맨은 사랑하는 친구이자 가장 강력한 적이 된 다크 피닉스와 맞서야 하는데…"
55,기생충,8,드라마,"전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족.장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는모처럼 싹튼 고정수입의 희망이다.온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우.글로벌 IT기업 CEO인 박사장의 저택에 도착하자젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다.그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있었으니…"
56,아사코,7,드라마,"I. 강렬했다. 누구에게나 처음이 그렇듯…첫사랑 ‘바쿠’와 함께하는 모든 날이 특별했던 ‘아사코’.설레지만 불안하고 뜨겁지만 자유로운 영혼이었던 바쿠는 어느 날, 다시 돌아온다는 짧은 말만 남긴 채 아사코를 떠나갔다. II. 편안했다. 다시 시작할 수 있어서…우연일까? 운명일까?첫사랑 바쿠와 똑같은 외모의 ‘료헤이’를 만나게 된 아사코.겉모습만 같을 뿐 공통점 하나 없는 모습에 혼란스럽지만,자상하고 따뜻한 료헤이의 사랑으로아사코는 다시 설레는 사랑의 순간을 맞이한다. 그러던 어느 날, 떠나간 첫사랑 바쿠가 갑자기 나타나고아사코는 흔들리기 시작한다."
58,아일라,9,액션,"1950년 한국전쟁에 파병된 ‘슐레이만’은 칠흑 같은 어둠 속 홀로 남겨진 5살 소녀를 발견한다.전쟁과 부모를 잃은 충격 속에 말을 잃은 소녀. ‘슐레이만’은 소녀에게 터키어로 ‘달’이라는 뜻의 ‘아일라’라는 이름을 지어주고 함께 부대로 향한다. 서로에게 무엇과도 바꿀 수 없는 가장 소중한 존재가 된 두 사람. 그러나 행복도 잠시, ‘슐레이만’은 종전과 함께 고국으로 돌아가라는 명령을 받게 되고, ‘아일라’를 끝까지 지켜내기 위해 모두의 반대 속에 자신의 선택을 감행하게 되는데…전 세계를 감동시킨 위대한 이야기가 찾아온다!"
59,레디 플레이어 원,8,액션,"2045년, 암울한 현실과 달리 가상현실 오아시스(OASIS)에서는 누구든 원하는 캐릭터로 어디든지 갈 수 있고, 뭐든지 할 수 있고 상상하는 모든 게 가능하다. 웨이드 와츠(타이 쉐리던) 역시 유일한 낙은 대부분의 사람들이 하루를 보내는 오아시스에 접속하는 것이다. 어느 날 오아시스의 창시자인 괴짜 천재 제임스 할리데이(마크 라이런스)는 자신이 가상현실 속에 숨겨둔 3개의 미션에서 우승하는 사람에게 오아시스의 소유권과 막대한 유산을 상속한다는 유언을 남기고, 그가 사랑했던 80년대 대중문화 속에 힌트가 있음을 알린다. 제임스 할리데이를 선망했던 소년 ‘웨이드 와츠’가 첫 번째 수수께끼를 푸는 데 성공하자 이를 저지하기 위해 현실에서 살인도 마다하지 않는 ‘IOI’라는 거대 기업이 뛰어든다.모두의 꿈과 희망이 되는 오아시스를 지키기 위해서는 반드시 우승해야 한다!그리고 우승을 위해서는 가상현실이 아닌 현실세계의 우정과 사랑의 힘이 필요하기만 한데…"
60,코코,9,액션,뮤지션을 꿈꾸는 소년 미구엘은 전설적인 가수 에르네스토의 기타에 손을 댔다 ‘죽은 자들의 세상’에 들어가게 된다.그리고 그곳에서 만난 의문의 사나이 헥터와 함께 상상조차 못했던 모험을 시작하게 되는데…과연 ‘죽은 자들의 세상’에 숨겨진 비밀은? 그리고 미구엘은 무사히 현실로 돌아올 수 있을까?
61,위대한 쇼맨,9,드라마,"쇼 비즈니스의 창시자이자, 꿈의 무대로 전세계를 매료시킨 남자‘바넘’의 이야기에서 영감을 받아 탄생한 오리지널 뮤지컬 영화 . 이후 다시 뮤지컬 영화로 돌아온 휴 잭맨부터 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠다야까지할리우드 최고의 배우들이 합류해 환상적인 앙상블을 선보인다.여기에  제작진과  작사팀의 합류로더욱 풍성해진 비주얼과 스토리, 음악까지 선보일 은‘우리는 누구나 특별하다’는 메시지로 관객들에게 재미는 물론, 감동까지 선사할 것이다.THIS IS ME! 우리는 누구나 특별하다!"
62,토르: 라그나로크,8,액션,"죽음의 여신 ‘헬라’가 아스가르드를 침략하고,세상은 모든 것의 종말 ‘라그나로크’의 위기에 처한다.헬라에게 자신의 망치마저 파괴당한 토르는 어벤져스 동료인 헐크와도 피할 수 없는 대결을벌이면서 절체절명의 위기에 빠지게 되는데…"
63,지오스톰,7,액션,"가까운 미래, 기후변화로 인해 지구에 갖가지 자연재해가 속출한다. 세계 정부 연합은 더 이상의 재난을 예방하기 위해세계 인공위성 조직망을 통해 날씨를 조종할 수 있는 '더치보이 프로그램'을 개발한다.하지만 프로그램에 문제가 생기면서  두바이의 쓰나미와 홍콩의 용암 분출, 리우의 혹한, 모스크바의 폭염까지,세계 곳곳에서 일어날 수 없는 기상이변이 일어나는데..."
64,에이리언: 커버넌트,8,공포/스릴러,역사상 최대규모의 식민지 개척의무를 가지고 목적지로 향하던 ‘커버넌트’ 호는 미지의 행성으로부터 온 신호를 감지하고 그곳을 탐사하기로 결정한다. 희망을 가진 신세계일 것이라는 생각과 달리 그곳은 갈수록 어둡고 위험한 세계였다. 상상을 초월하는 위협이 밝혀지며 그들은 목숨을 건 최후의 탈출을 시도해야만 하는데……
65,분노의 질주: 더 익스트림,8,액션,"마침내 평화로운 일상으로 돌아온 리더 ‘도미닉’(빈 디젤)과 멤버들.그러던 어느 날, 멤버들은 도미닉이 첨단 테러 조직의 리더 ‘사이퍼’(샤를리즈 테론)와 함께 사상 최악의 테러를 계획하고 있음을 알게 된다.리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 ‘데카드 쇼’(제이슨 스타뎀)까지 영입해최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데…"
66,핵소 고지,9,액션,비폭력주의자인 도스(앤드류 가필드)는 전쟁으로부터 조국과 소중한 사람들을 지키기 위해총을 들지 않아도 되는 의무병으로 육군에 자진 입대한다.총을 들 수 없다는 이유로 필수 훈련 중 하나인 총기 훈련 마저 거부한 도스는동료 병사들과 군 전체의 비난과 조롱을 받게 된다.결국 군사재판까지 받게 되지만 끝까지 자신의 신념을 굽히지 않은도스에게 군 상부는 오키나와 전투에 총기 없이 의무병으로 참전할 것을 허락하는데…
67,피케이: 별에서 온 얼간이,9,코미디,"집(우주)으로 돌아갈 리모콘을 도둑 맞은 외계인 피케이(아미르 칸).되찾을 수 있는 방법은 오직 신만이 알고 있다?각종 종교 의식을 행하며 신을 찾아 헤매는데.. 우리를 만든 신!우리가 만든 신!당신이 믿는 신은 누굽니까? 9월 3일, 신에 대한 발칙한 도발이 시작된다!"
69,포커스,7,액션,"베테랑 사기꾼 ‘니키’(윌 스미스)는 사기의 기술을 배우기 위해 찾아온 신참내기 사기꾼 ‘제스’(마고 로비)와 사랑에 빠지지만 너무 가까워지는 것이 두려워 일부러 그녀를 떠난다. 그리고 3년 후, 부에노스 아이레스에서 마주치게 된 두 사람이 동시에 한 명의 백만장자를 노리게 되면서 일이 꼬이게 되는데…"
70,그레이스 오브 모나코,8,드라마,"아름답고 우아한 이미지로 전 세계인의 사랑을 받던 '할리우드의 여신' 그레이스 켈리는 모나코의 레니에 3세와 세기의 결혼식을 올리면서 할리우드를 떠난다.하지만 답답한 왕실 생활에 서서히 지쳐가던 그녀는 히치콕 감독의 영화계 복귀 제안에 마음이 흔들리고, 모나코를 합병시키고 싶었던 프랑스는 할리우드 복귀를 고민하는 그녀를 이용해 모나코 왕실을 위기에 빠트리는데…	모나코의 운명을 바꾼 그녀 생애 가장 위대한 순간이 펼쳐진다!"
71,베스트 오퍼,8,액션,최고가로 미술품을 낙찰시키는 세기의 경매사이자 예술품의 가치를 알아보는 완벽한 감정인 올드먼(제프리 러쉬). 고저택에 은둔한 여인으로부터 감정 의뢰를 받으면서 예상치 못한 인생의 변화를 맞이하게 되는데…
72,트랜센던스,7,액션,"인류가 수억 년에 걸쳐 이룬 지적능력을 초월하고 자각능력까지 가진 슈퍼컴 ‘트랜센던스’의 완성을 목전에 둔 천재 과학자 ‘윌’(조니 뎁)은 기술의 발전은 인류의 멸망이라 주장하는 반(反) 과학단체 ‘RIFT’의 공격을 당해 목숨을 잃는다. 연인 ‘에블린’(레베카 홀)은 윌의 뇌를 컴퓨터에 업로드 시켜 그를 살리는데 성공하지만, 또 다른 힘을 얻은 그는 온라인에 접속해 자신의 영역을 전 세계로 넓혀가기 시작하는데…"
73,인 타임,7,액션,"커피 1잔.. 4분, 권총 1정.. 3년, 스포츠카 1대.. 59년!모든 비용은 시간으로 계산된다!!근 미래, 모든 인간은 25세가 되면 노화를 멈추고, 팔뚝에 새겨진 ‘카운트 바디 시계’에 1년의 유예 시간을 제공받는다. 이 시간으로 사람들은 음식을 사고, 버스를 타고, 집세를 내는 등, 삶에 필요한 모든 것을 시간으로 계산한다. 하지만, 주어진 시간을 모두 소진하고 13자리 시계가 0이 되는 순간, 그 즉시 심장마비로 사망한다. 때문에 부자들은 몇 세대에 걸쳐 시간을 갖고 영생을 누릴 수 있게 된 반면, 가난한 자들은 하루를 겨우 버틸 수 있는 시간을 노동으로 사거나, 누군가에게 빌리거나, 그도 아니면 훔쳐야만 한다. 돈으로 거래되는 인간의 수명!“살고 싶다면, 시간을 훔쳐라!!”윌 살라스(저스틴 팀버레이크)는 매일 아침 자신의 남은 시간을 보며 충분한 양의 시간을 벌지 못하면, 더는 살 수 없다는 사실을 깨달으며 눈을 뜬다. 그러던 어느 날, 수천 년을 살수 있는 헤밀턴이란 남자를 위험에서 구해준 윌은 그에게서 소수의 영생을 위해 다수가 죽어야 하는 현 시스템의 비밀을 듣게 되지만, 그 남자가 100년의 시간을 물려주고 시체로 발견되면서 졸지에 살인자의 누명을 쓰고 쫓기게 된다. 사람들의 눈을 피해 부자들만이 모여 사는 ‘뉴 그리니치’로 잠입한 그는 끈질긴 타임 키퍼 리온(킬리언 머피)의 추적으로 체포될 위기를 맞지만, 와이스 금융사의 회장 딸인 실비아(아만다 사이프리드)를 인질로 삼아 간신히 탈출한다. 이때부터 윌은 실비아와 함께 누명을 벗고 전세계를 통제하는 시스템의 비밀을 파헤치려 하는데…"
74,울지마 톤즈,9,다큐멘터리,"2010년 2월, 아프리카 수단 남쪽의 작은 마을 톤즈. 남 수단의 자랑인 톤즈 브라스 밴드가 마을을 행진했다. 선두에선 소년들은 한 남자의 사진을 들고 있고 있었다. 환하게 웃고 있는 사진 속 한 남자… 마을 사람들은 톤즈의 아버지였던 그의 죽음이 믿기지 않는다며 눈물을 흘렸다. 그들은 세계에서 가장 키가 큰 딩카족이다. 남과 북으로 나뉜 수단의 오랜 내전 속에서 그들의 삶은 분노와 증오 그리고 가난과 질병으로 얼룩졌다. 목숨을 걸고 가족과 소를 지키기 위해 싸우는 딩카족. 강인함과 용맹함의 상징인 종족 딩카족에게 눈물은 가장 큰 수치다. 무슨 일이 있어도 눈물을 보이지 않던 그들이 울고 말았다. 모든 것이 메마른 땅 톤즈에서 눈물의 배웅을 받으며 이 세상 마지막 길을 떠난 사람, 마흔 여덟의 나이로 짧은 생을 마감한 故 이태석 신부다. 톤즈의 아버지이자, 의사였고, 선생님, 지휘자, 건축가였던 쫄리 신부님, 이태석… 자신의 모든 것을 바쳐 온몸 다해 그들을 사랑했던 헌신적인 그의 삶이 스크린에서 펼쳐진다."
75,아바타,9,액션,"지구 에너지 고갈 문제를 해결하기 위해판도라 행성으로 향한 인류는 원주민 ‘나비족’과 대립하게 된다.이 과정에서, 전직 해병대원 제이크 설리(샘 워싱턴)가‘아바타’ 프로그램을 통해 ‘나비족’의 중심부에 투입되는데…피할 수 없는 전쟁! 이 모든 운명을 손에 쥔 제이크!그 누구도 넘보지 못한 역대급 세계가 열린다!아바타: 인간과 ‘나비족’의 DNA를 결합해 만들어졌으며링크룸을 통해 인간의 의식으로 원격 조종할 수 있는 새로운 생명체"
76,업,9,액션,"평생 모험을 꿈꿔 왔던 ‘칼’ 할아버지는 수천 개의 풍선을 매달아 집을 통째로 남아메리카로 날려 버리는데,‘칼’ 할아버지의 이 위대한 모험에 초대 받지 않은 불청객이 있었으니,바로 황야의 탐험가 ‘러셀’! 지구상에 둘도 없을 이 어색한 커플이 함께 하는 대모험.그들은 과연 남미의 잃어버린 세계에서 사라져 버린 꿈과 희망, 행복을 다시 찾을 수 있을까?"
77,용의자 X의 헌신,8,액션,"어느 날 형체를 알아볼 수 없는 남자의 시신이 발견된다. 사망자가 ‘토가시 신지’임이 판명되자, 그의 행적을 조사한 ‘우츠미’ 형사는 사건의 강력한 용의자로 전처 ‘야스코’를 지목한다. 하지만 그녀의 완벽한 알리바이에 수사의 한계에 부딪힌 우츠미는 천재 탐정 ‘갈릴레오’라 불리는 물리학자 ‘유카와’ 교수를 찾아가 도움을 요청한다. 사건의 전말을 확인한 유카와는 용의자의 옆집에 사는 남자가 대학시절 유일하게 수학 천재로 인정했던 동창 ‘이시가미’란 사실에 그가 야스코의 뒤에서 알리바이를 조작하고 있음을 직감한다. 그리고 이시가미와 접촉하며 의미심장한 말을 건넨다. “풀 수 없는 문제를 만드는 것과 그 문제를 푸는 것 중 어느 것이 더 어려울까? 단 정답은 반드시 있어.” 서서히 드러나는 천재 수학자의 치밀하고 완벽한 알리바이의 실체. 그리고 그 속에 숨겨진 한 남자의 뜨거운 헌신이 밝혀진다!"
78,예스 맨,8,코미디,"대출회사 상담 직원 칼 알렌(짐 캐리)은 ‘NO’라는 말을 입에 달고 사는 매사 부정적인 남자. 하지만 친구의 권유로 ‘인생역전 자립프로그램’에 가입하면서 그의 인생이 180도 뒤바뀐다! ‘긍정적인 사고가 행운을 부른다’는 프로그램 규칙에 따라 모든 일에 ‘YES’라고 대답하기로 결심하고 ‘뭐든지 할 수 있다’는 자세로 새로운 일에 도전하는 칼. 번지점프 하기, 한국어 수업 듣기, 모터사이클 타기, 남의 인생 간섭하기, 온라인으로 데이트상대 정하기… 정말로 ‘YES’라고 대답하니 지루했던 예전의 일상과 달리 인생이 너무나 유쾌하다. 하지만 이 남자, 접수되는 대출 신청서류마다 YES, 구매강요 온라인 쇼핑몰 메일에도 YES, 만나자는 여자들의 전화에도 YES, 무조건 YES를 남발하고. 정말 이렇게 ‘YES’ 해도 되는 걸까?"
79,멋진 하루,8,드라마,"많으면 많고 적으면 적은 돈 350만 원. 헤어진 남자친구에게 떼인 그 돈을 받기 위해 1년 만에 그를 찾아나선 여자가 있다. 그녀의 이름은 희수다. 길다면 길고, 짧다면 짧은 1년. 헤어진 여자친구에게 빌린 350만원을 갚기 위해 돈을 빌리러 나선 남자가 있다. 그의 이름은 병운이다. 어느 화창한 토요일 아침, 초겨울 찬바람을 맞으며 희수는 경마장에 들어선다. 두리번두리번, 경마장을 헤매는 희수. 마침내 병운을 발견한다. 병운과 눈을 마주치자 마자 내뱉는 희수의 첫마디. “돈 갚아.” 희수는 서른을 훌쩍 넘겼다. 그리고, 애인도 없다. 직장도 없다. 통장도 바닥이다. 완전 노처녀 백조다. 불현듯 병운에게 빌려 준 350만 원이 생각났다. 그래서 결심한다. 꼭 그 돈을 받겠다고. 병운은 결혼을 했고, 두 달 만에 이혼했다. 이런저런 사업을 벌였다가 실패하고 빚까지 졌다. 이젠 전세금까지 빼서 여행가방을 들고 다니는 떠돌이 신세다. 한때 기수가 꿈이었던 병운은 경마장에서 돈을 받겠다고 찾아온 희수를 만나게 된다. 병운은 희수에게 꾼 돈을 갚기 위해 아는 여자들에게 급전을 부탁한다. 여자관계가 화려한 병운의 ‘돌려 막기’에 기가 막히는 희수지만 병운을 차에 태우고 돈을 받으러, 아니 돈을 꾸러 다니기 시작한다. 한때 밝고 자상한데다 잘생기기까지 한 병운을 좋아했지만, 대책 없는 그를 이제는 더 이상 믿을 수가 없다. 1년 전엔 애인 사이, 오늘은 채권자와 채무자…… 길지 않은 겨울 하루, 해는 짧아지고 돈은 늘어간다. 다시 만난 그들에게 허락된 ‘불편한 하루’가 저물어 간다."
80,귀를 기울이면,9,애니메이션,"중학교 3학년 시즈쿠는 평소 책을 많이 읽는 소녀이다. 여름방학, 매번 도서카드에서 먼저 책을 빌려간 세이지란 이름을 발견하고 호기심을 갖는다. 어느 날 아버지의 도시락을 전해주러 가는 길. 지하철 안에서 혼자 탄 고양이를 보게 된다. 신기하게 여긴 시즈쿠는 고양이를 따라가다 골동품가게에 들어가게 되고, 그곳에서 주인 할아버지와 손자를 보게 된다. 그 손자는 다름 아닌 아마사와 세이지, 사춘기의 두 사람은 점차 서로의 사랑에 대해 알게 된다. 시즈쿠는 바이올린 장인을 자신의 장래로 확실히 정한 세이지를 보면서 자신의 꿈과 미래를 진지하게 고민하게 된다. 그 후 이탈리아 연수를 간 세이지가 돌아 올 때까지 작가가 되고자 도전해 보기로 하고 소설을 쓰게 된다."
81,패스트 & 퓨리어스 - 도쿄 드리프트,7,액션,"반항적인 기질의 션. 그는 자신의 억눌린 감정을 0.01초의 타이밍에 목숨과 거래하는 스트리트 레이싱 매니아. 하지만, 계속되던 무모한 레이싱으로 급기야 큰 사고를 자초하게 되고, 감옥에 가지 않기 위해 도쿄에 있는 아버지에게로 도피한다. 하지만, 가깝게 지내지 않았던 아버지와의 만남은 이국 땅의 낯선 문화와 함께 그에게 더욱 커다란 혼란만을 가져올 뿐, 적응을 하지 못하고 방황하게 된다. 그러던 어느 날 미국인 친구 트윙키에게 새롭게 유행하고 있는 익스트림 스포츠이자 젊은이들의 탈출구인 드리프트 레이싱에 대해 듣게 되는 션. 그는 도심의 위험천만한 급커브를 파워풀한 스피드로 질주하는 모습에 매료돼 순식간에 빠져들고 마는데.."
82,하울의 움직이는 성,9,애니메이션,"어느 날, 영문도 모른 채 마녀의 저주로 인해 할머니가 된 소녀 '소피'절망 속에서 길을 걷다가 거대한 마법의 성에 들어가게 된다. 그곳에서 자신과 마법사 하울의 계약을 깨주면 저주를 풀어주겠다는 불꽃악마 캘시퍼의 제안을 받고 청소부가 되어 ‘움직이는 성’에 머물게 되는데…"
83,이프 온리,9,코미디,"눈앞에서 사랑하는 연인을 잃은 남자는 다음 날 아침, 자신의 옆에서 자고 있는 연인을 보고 소스라치게 놀란다. 기쁨도 잠시, 정해진 운명은 바꿀 수 없단 것을 깨달은 그는 더 늦기 전에 자신의 진정한 사랑을 전하기로 마음먹는데…네가 아니었다면 난 영영 사랑을 몰랐을 거야사랑하는 법을 알게 해줘서 고마워, 사랑받는 법도."
84,태극기 휘날리며,9,액션,"가족의 생계를 책임지기 위해 열심히 살아가는 ‘진태’(장동건)는 약혼녀 ‘영신’(이은주)과의 결혼과, 세상에서 가장 소중하게 생각하는 동생 ‘진석’(원빈)의 대학진학을 위해 어려운 상황에서도 씩씩하게 생활을 해나간다.1950년 6월의 어느 날, 한반도에 전쟁이 일어났다는 호회가 배포되고, 두 형제는 평온한 일상에서 갑작스레 전쟁터로 내몰린다. 훈련받을 시간조차 없이 국군 최후의 보루인 낙동강 방어선으로 실전 투입된 ‘진태’와 ‘진석’. 동생과 같은 소대에 배치된 ‘진태’는 아직 학생인 동생의 징집해제를 위해 대대장을 만나게 되고, 동생의 제대를 위해 자신이 해야 할 최선의 것이 무엇인지를 느끼게 된다.그리고 동생의 생존을 위해 총을 들며 영웅이 되기를 자처하게 되고,끝내 생각지도 못한 운명의 덫이 두 형제를 기다리고 있는데…"
